Facebook_page_id , Facebook_page_name , Facebook_category, Internal_use
104905200069 , crayola , brands/household-goods/stationery , facebook
104956949616 , avatar-the-last-airbender , entertainment/broadcast-show , facebook
104967236213316 , lagunitas-brewing-co , brands/alcohol/beer , facebook
105014211842 , jetblue , brands/airlines , ACSIbrands
105033459529563 , armor-all , brands/household-goods/chemicals , facebook
105083352860 , montblanc , brands/fashion/jewelry , facebook
10515469841 , university-of-oregon , society/education , facebook
105160272853078 , ef-education-first-pro-cycling , sport/sport-club , facebook
105260116181782 , u-s-navy-blue-angels , society/governmental , facebook
105299067674 , apolo-anton-ohno , celebrities/sport-star , facebook
105310924507 , ben-10 , entertainment/broadcast-show , facebook
105371386162705 , albertsons , brands/retail/hypermarkets-supermarkets , ACSIbrands
10542514979 , lifetime-movies , media/tv-channels , facebook
105457006718 , art-of-george-rodrigue , celebrities/artist , facebook
105463901749 , cup-of-joe-for-a-joe , society/ngo , facebook
10561184314 , donald-driver , celebrities/sport-star , facebook
105630772128 , kyle-busch , celebrities/sport-star , facebook
105657322802566 , primus , celebrities/musician , facebook
105754412780518 , miesha-tate , celebrities/sport-star , facebook
105817739461922 , discover-st-ignace , brands/travel , facebook
10584534401 , madonna , celebrities/singer , facebook
105870741086 , american-music-awards , entertainment/event , facebook
105930651606 , harvard-university , society/education , facebook
106027143213 , chili-s-grill-bar , brands/retail-food , ACSIbrands
106068193434 , 6pm-com , brands/ecommerce/e-shop , facebook
106087303197 , atom-skates , brands/sporting-goods , facebook
106111954344 , wrcb-channel-3-eyewitness-news , media/tv-channels , facebook
106191464294 , alabama-crimson-tide-football-on-sds , community/sport-interest , facebook
106245416086016 , family-dollar , brands/retail/hypermarkets-supermarkets , ACSIbrands
10643196329 , pga-tour , sport/sport-organization , facebook
10646929759 , america-s-got-talent , entertainment/broadcast-show , facebook
106506412706088 , belk , brands/retail/fashion-retailers , facebook
106561969377294 , california-highway-1-discovery-route , brands/travel , facebook
106625151796 , glock , brands/sporting-goods , facebook
106628409154 , the-cheesecake-factory , brands/retail-food , facebook
10664530778 , rolling-stone , media/magazines-journals , facebook
106672932712721 , rick-ross , celebrities/singer , facebook
106764142756920 , bow-wow , celebrities/singer , facebook
106821219362606 , sugar-beach-a-viceroy-resort , brands/accommodation , facebook
106843036179 , entertainment-tonight , entertainment/broadcast-show , facebook
10685374714 , greg-oden , celebrities/sport-star , facebook
106917292698829 , waka-flocka-flame , celebrities/singer , facebook
106936646025301 , new-england-fertility , brands/healthcare , facebook
106939101552 , srt-communications , brands/telecom , facebook
106953186018403 , grand-hyatt-san-antonio , brands/accommodation , facebook
106958009339489 , dallas-cowboys-on-fanatics , brands/ecommerce/e-shop , facebook
107025612661194 , lauren-conrad , celebrities/broadcast-star , facebook
10705539669 , the-game , celebrities/singer , facebook
107067687578 , specialized-bicycles , brands/sporting-goods , facebook
107119865994138 , americinn-by-wyndham , brands/travel , facebook
10714086302 , saturday-night-live , entertainment/broadcast-show , facebook
107180073456 , donna-karan-new-york , brands/beauty , facebook
107213235983165 , waldorf-astoria-park-city , brands/accommodation , facebook
10730674914 , law-order , entertainment/broadcast-show , facebook
107322412447 , clash-of-the-titans , entertainment/film-music-industry/movies , facebook
107331052623060 , clemson-athletics , sport/sport-club , facebook
107344745953048 , giordano-s-pizza , brands/retail-food , facebook
107418161415 , anthropologie , brands/fashion/clothing , facebook
10764587274 , alvin-ailey-american-dance-theater , place/cultural-center , facebook
107651419258212 , aol , media/web-portal , ACSIbrands
107725134748 , suicide-silence , celebrities/musician , facebook
10781399665 , luxury-link , brands/accommodation , facebook
107816055964727 , the-roosevelt-new-orleans-a-waldorf-astoria-hotel , brands/accommodation , facebook
107837429247830 , whio , media/tv-channels , facebook
107977790520 , detroit-tigers , sport/sport-club , facebook
108038612554992 , americans-against-the-tea-party , community/political , facebook
108053682610 , custom-saddlery , brands/sporting-goods , facebook
108380356656 , atlanta-marriott-marquis , brands/accommodation , facebook
108472637291 , qualcomm , brands/electronics/computer , facebook
108509824105 , turtle-bay-resort , brands/accommodation , facebook
10854154757 , tribeca , entertainment/event , facebook
10858891900 , big-show , celebrities/sport-star , facebook
108628512522126 , sheamoisture , brands/beauty , facebook
108646392513867 , ed-lover-presents-c-mon-son-it-s-official , community/hobbies , facebook
108725949157221 , hasbro-gaming , brands/software/game-developer , facebook
108726828894 , t-mobile , brands/telecom , ACSIbrands
108830022537903 , nhl-store-nyc , brands/sporting-goods , facebook
1088846181131521 , heineken , brands/alcohol/beer , facebook
108885472499392 , sixpoint , brands/alcohol/beer , facebook
108905269168364 , team-coco , entertainment/broadcast-show , facebook
10901008068 , guns-n-roses , celebrities/musician , facebook
109061874644 , yandy-com , brands/ecommerce/e-shop , facebook
109075152602 , old-town-canoes-kayaks , brands/sporting-goods , facebook
109096170038 , ocean-key-resort-spa , brands/accommodation , facebook
109127069117708 , toy-machine , brands/sporting-goods , facebook
109160855777949 , lsu-football , sport/sport-club , facebook
109346998163 , the-westin-charlotte , brands/accommodation , facebook
109464015773955 , u-s-department-of-the-interior , society/governmental , facebook
10947828617 , bo-burnham , celebrities/singer , facebook
109481702477643 , colt , brands/sporting-goods , facebook
109497419198 , regal , entertainment/film-music-industry/cinemas , facebook
109521013225 , nikki-haley , society/politics , facebook
109561876758 , gregory-mountain-products , brands/sporting-goods , facebook
109590478330 , husky , celebrities/broadcast-star , facebook
10960345836 , allen-iverson , celebrities/sport-star , facebook
109690427340 , pampered-chef , brands/home-living/utensils , facebook
109720289064245 , blue-force-gear-inc , brands/sporting-goods , facebook
109720919064295 , sheraton-new-york-times-square , brands/accommodation , facebook
109821905760376 , ppl-electric-utilities , brands/industrial , ACSIbrands
109856449086768 , buffy-the-vampire-slayer , entertainment/broadcast-show , facebook
11006459933 , trey-songz , celebrities/singer , facebook
110093869003065 , cryptozoic-entertainment , brands/software/game-developer , facebook
110174536745 , warrior-hockey , brands/sporting-goods , facebook
110281552358202 , willow-smith , celebrities/actor , facebook
110284342337575 , trunk-club , brands/ecommerce/e-shop , facebook
110349489394 , ninja-warrior , entertainment/broadcast-show , facebook
110376283088 , cincinnati-bell , brands/telecom , facebook
11039052947 , sonic-youth , celebrities/musician , facebook
110666905614083 , dial , brands/beauty , ACSIbrands
110897158932416 , xenith , brands/sporting-goods , facebook
110979742251862 , cowboys-aliens , entertainment/film-music-industry/movies , facebook
11100009009 , the-new-celebrity-apprentice , entertainment/broadcast-show , facebook
111031606992 , janet-evanovich , celebrities/writer , facebook
111053562260241 , huffy-bicycles , brands/sporting-goods , facebook
111065427436 , tony-stewart , celebrities/sport-star , facebook
111068072379646 , cruiseline-com , brands/travel , facebook
111119240800 , team-chevy , brands/auto , facebook
111122042270702 , wwe-nxt , entertainment/broadcast-show , facebook
111179874928 , gaylord-texan-hotel , brands/accommodation , facebook
111189418926251 , loaded-boards , brands/sporting-goods , facebook
111231085580512 , savage-gear , brands/sporting-goods , facebook
111253159609 , warnermedia , media/media-house , facebook
111270619684 , espnu , media/tv-channels , facebook
11129186193 , duke-athletics , sport/sport-club , facebook
11131463701 , truth , society/ngo , facebook
111394578879904 , bh-cosmetics , brands/beauty , facebook
111413572269428 , isopure , brands/beverages/soft-drink , facebook
111429775586189 , xenios-usa , brands/sporting-goods , facebook
111430085563180 , mally-beauty , brands/beauty , facebook
111432358895394 , federal-premium , brands/sporting-goods , facebook
11145281150 , hot-97 , media/radio-media , facebook
111464203307 , tropicana-las-vegas , brands/accommodation , facebook
111466012200932 , alabama-crimson-tide-on-fanatics , brands/ecommerce/e-shop , facebook
111598995523778 , diggy , celebrities/singer , facebook
11177446882 , kevin-spacey , celebrities/actor , facebook
111791849026649 , giant-bicycles-usa , brands/sporting-goods , facebook
111857542229788 , sonivox , brands/software/programs , facebook
111873023565 , air-tahiti-nui , brands/airlines , facebook
111932548870206 , modern-vintage-boutique , brands/ecommerce/e-shop , facebook
111946004581 , leapfrog-usa , brands/electronics/computer , facebook
112086655528093 , dk-bicycles , brands/sporting-goods , facebook
112088258804189 , carolina-panthers , sport/sport-club , facebook
112173338805484 , flysaa-usa , brands/airlines , facebook
11218770329 , red-hat , brands/software/programs , facebook
112227520585 , hendrick-motorsports , sport/sport-club , facebook
112229065491582 , bible-is , brands/software/programs , facebook
112258312240526 , con-edison , brands/industrial , ACSIbrands
112336898794348 , mercedes-benz-usa , brands/auto , facebook
112373888809455 , patron-tequila , brands/alcohol/spirits , facebook
112452045457881 , ronnie-james-dio , celebrities/musician , facebook
11246196569 , food-matters , community/life-style , facebook
112465902132077 , mayhem , brands/finance/insurance , facebook
112541122113848 , georgia-boot , brands/sporting-goods , facebook
112623495415114 , fiat-usa , brands/auto , facebook
112638779551 , fox-sports , media/tv-channels , facebook
112669694704 , notre-dame-fighting-irish-athletics , sport/sport-club , facebook
112677442099386 , latam-airlines , brands/airlines , facebook
112724293814 , carole-king , celebrities/musician , facebook
112797068762499 , rob-gronkowski-gronk , celebrities/sport-star , facebook
112803175418259 , adobe-document-cloud , brands/software/programs , facebook
112832382082079 , stihl , brands/home-living/home-maintenance , facebook
112852666874 , san-francisco-49ers , sport/sport-club , facebook
112904952053451 , san-francisco-marriott-marquis , brands/accommodation , facebook
112915798740840 , cher , celebrities/musician , facebook
112918477404 , usa-wrestling , sport/sport-organization , facebook
112955302090771 , sunday-night-football-on-nbc , entertainment/broadcast-show , facebook
112987182081215 , sophia-bush , celebrities/actor , facebook
113102058772816 , the-official-intergalactic-surly-regional-hq , brands/sporting-goods , facebook
113174253097 , university-of-notre-dame , society/education , facebook
113186424964 , in-the-rooms , media/social-media , facebook
113272278682859 , jeremy-shockey , celebrities/sport-star , facebook
113346892011731 , princeton-perez , celebrities/musician , facebook
113385204488 , wendy-s , brands/retail-food , ACSIbrands
113453778703734 , michigan-basketball , sport/sport-club , facebook
113458336804 , kiii-3-news , media/tv-channels , facebook
113470526913 , scholastic , entertainment/books , facebook
113475642024697 , rizzoli-isles , entertainment/broadcast-show , facebook
113553048669158 , rick-scott , society/politics , facebook
113589202010624 , thor , entertainment/film-music-industry/movies , facebook
113591595350795 , nas , celebrities/musician , facebook
11360325957 , ucla , society/education , facebook
113613398663227 , civil-air-patrol-wisconsin-wing , brands/airlines , facebook
113645311974 , nestle , brands/fmcg-corporate , ACSIbrands
113657452009224 , oklahoma-state-athletics , sport/sport-club , facebook
113690044459 , rogue-fitness , brands/sporting-goods , facebook
11373923372 , the-kansas-city-chiefs , sport/sport-club , facebook
113762071973246 , aventura , celebrities/musician , facebook
113837095155 , nick-swisher , celebrities/sport-star , facebook
113888165320453 , christina-grimmie , celebrities/musician , facebook
113915458641200 , the-ritz-carlton-resorts-of-naples , brands/accommodation , facebook
113920052400 , cz-usa , brands/sporting-goods , facebook
113945191970422 , bowtech-inc , brands/sporting-goods , facebook
113950788630519 , lauren-holiday , community/sport-interest , facebook
114016181979317 , wwe-raw , entertainment/broadcast-show , facebook
114146975914 , fabolous , celebrities/musician , facebook
114191311407 , loews-royal-pacific-resort-at-universal-orlando , brands/accommodation , facebook
114200373938 , koaa-5 , media/tv-channels , facebook
114229921995205 , under-armour-hunt , brands/sporting-goods , facebook
114250430692 , jane-velez-mitchell , celebrities/broadcast-star , facebook
114288853688 , nbc-nightly-news-with-lester-holt , entertainment/broadcast-show , facebook
114303581926584 , travelodge-by-wyndham , brands/accommodation , facebook
114316585298755 , parker-bows , brands/sporting-goods , facebook
114409637540 , fort-lauderdale-marriott-harbor-beach-resort-spa , brands/accommodation , facebook
114546728587728 , george-w-bush , society/politics , facebook
11455644806 , snoop-dogg , celebrities/singer , facebook
11466589572 , navy-exchange , brands/ecommerce/e-shop , facebook
114681195238350 , shawn-michaels , celebrities/sport-star , facebook
114692447908 , kenny-chesney-s-no-shoes-radio , media/radio-media , facebook
114742231660 , sheplers-com , brands/retail/fashion-retailers , facebook
11477613346 , sheryl-crow , celebrities/musician , facebook
114824201977 , hilton-grand-vacations , brands/accommodation , facebook
114964766589 , familyfun , media/magazines-journals , facebook
115073768563814 , american-national , brands/finance/insurance , facebook
115151700556 , firehouse-subs , brands/retail-food , facebook
115156189676 , texas-longhorns , sport/sport-club , facebook
115396273820 , rome-snowboards , brands/sporting-goods , facebook
115407078489594 , atlassian , brands/software/programs , facebook
115494032177 , asus , brands/electronics/computer , facebook
115496826818 , pawn-stars-on-history , entertainment/broadcast-show , facebook
115511161824582 , firestone-tires , brands/auto , facebook
115568331790246 , rite-aid , brands/retail/beauty-drug-stores , ACSIbrands
115603311835083 , rocky-boots , brands/sporting-goods , facebook
115668468480422 , park-hyatt-aviara-resort , brands/accommodation , facebook
115673336230 , new-york-jets , sport/sport-club , facebook
115703015118513 , frabill , brands/sporting-goods , facebook
11573344701 , aaron-watson , celebrities/singer , facebook
115742325104435 , amsoil-inc , brands/industrial , facebook
115816835104562 , deutsche-bank , brands/finance/bank , facebook
115897014451 , chicago-bears , sport/sport-club , facebook
11592717710 , tyga , celebrities/singer , facebook
115965091775764 , teenage-mutant-ninja-turtles , entertainment/broadcast-show , facebook
116106135078207 , el-al , brands/airlines , facebook
116119711759494 , battleship , entertainment/film-music-industry/movies , facebook
116160859770 , jelly-belly , brands/fmcg-food/confectionery , facebook
116232108403723 , jared-allen , celebrities/sport-star , facebook
116245335107015 , hotel-belleclaire , brands/accommodation , facebook
116330668439811 , humana , brands/finance/insurance , facebook
116397088405021 , perezhilton-com , celebrities/writer , facebook
116467238443849 , razor-worldwide , brands/sporting-goods , facebook
116673612076 , street-muscle-magazine , community/auto-interest , facebook
116693301677183 , cafe-bustelo , brands/beverages/coffee-tea , facebook
116697655082248 , golden-road-brewing , brands/alcohol/beer , facebook
116713035013014 , mike-portnoy , celebrities/musician , facebook
116769271697030 , terra-nova , entertainment/broadcast-show , facebook
116842969002 , prince-royce , celebrities/singer , facebook
116939091691171 , acco-brands , brands/household-goods/stationery , facebook
116961501685401 , zeiss-hunting-us , brands/sporting-goods , facebook
116974128319151 , ecco-golf , brands/sporting-goods , facebook
117068335147214 , fripp-outdoors , brands/sporting-goods , facebook
117154494974817 , thoughtworks , brands/software/programs , facebook
11721627783 , red , celebrities/singer , facebook
117237894968826 , sunpower , brands/industrial , facebook
117307284966434 , the-oakland-raiders , sport/sport-club , facebook
117341921610 , samuel-adams , brands/alcohol/beer , facebook
117342865147 , dr-dre , celebrities/singer , facebook
117382044987639 , wegmans , brands/retail/hypermarkets-supermarkets , ACSIbrands
117416193525 , the-don-cesar , brands/accommodation , facebook
117420464947628 , seattle-s-best-coffee , brands/retail-food , facebook
117497138610 , walgreens , brands/retail/beauty-drug-stores , ACSIbrands
117526326665 , fairmont-washington-d-c-georgetown , brands/accommodation , facebook
117604218271416 , easy-a , entertainment/film-music-industry/movies , facebook
117631940358 , sid-meier-s-civilization , entertainment/computer-game , facebook
117642901599304 , office-du-tourisme-des-usa , brands/travel , facebook
117700822359 , colonial-properties-cabin-resort-rentals , brands/accommodation , facebook
117730121643397 , gravely-commercial-lawn-mowers , brands/home-living/home-maintenance , facebook
11777891135 , america-s-best-dance-crew , entertainment/broadcast-show , facebook
117933551615509 , mob-wives , entertainment/broadcast-show , facebook
117983638238613 , smirnoff , brands/alcohol/spirits , facebook
118041632123 , we-came-as-romans , celebrities/musician , facebook
118224382829 , easton-baseball , brands/sporting-goods , facebook
118348191696884 , miami-beach-resort-and-spa , brands/accommodation , facebook
118350410327 , gossip-girl , entertainment/broadcast-show , facebook
118506734852309 , mastercard , brands/finance/payment , facebook
11860134405 , clay-walker , celebrities/musician , facebook
118636351506759 , matthew-mcconaughey , celebrities/actor , facebook
118767805343 , sharpie , brands/household-goods/stationery , facebook
118813026189 , kourtney-kardashian , celebrities/broadcast-star , facebook
118907304865324 , asap-rocky , celebrities/musician , facebook
119009551516897 , gosunoco , brands/industrial , facebook
119045328124234 , anthony-davis , celebrities/sport-star , facebook
119068338119500 , own-oprah-winfrey-network , media/tv-channels , facebook
119151964783026 , nordictrack , brands/sporting-goods , facebook
119222628139914 , ace , brands/healthcare , facebook
119240841493711 , nintendo , brands/electronics/gaming-console , facebook
119249468124144 , discovery-family-channel , media/tv-channels , facebook
119260821434841 , marine-corps-recruit-depot-san-diego , society/governmental , facebook
119341458245958 , create-a-bed-murphy-bed-mechanism , brands/home-living/furniture , facebook
11941754300 , bassnectar , celebrities/musician , facebook
119500444664 , taylormade-golf , brands/sporting-goods , facebook
11955325695 , bob-dylan , celebrities/musician , facebook
119644664774976 , alliant-energy , brands/industrial , facebook
119660308079160 , 509 , brands/ecommerce/e-shop , facebook
119702488081975 , skrillex , celebrities/musician , facebook
119764459362 , airfarewatchdog , brands/travel , facebook
119782821409082 , flexistretcher , brands/sporting-goods , facebook
119886038067304 , snapware , brands/home-living/utensils , facebook
119915084320 , hhgregg , brands/retail/electronics-retailers , facebook
120000351366783 , hawaii-five-0 , entertainment/broadcast-show , facebook
120090728070755 , uconn-huskies , sport/sport-club , facebook
120163518021430 , philadelphia-eagles , sport/sport-club , facebook
120177481327977 , playtex , brands/home-living/children , facebook
120180854665967 , sage-fly-fishing , brands/sporting-goods , facebook
12019910389 , slayer , celebrities/musician , facebook
120301867358 , explore-minnesota-tourism , brands/travel , facebook
120398390965 , guy-harvey , celebrities/artist , facebook
120409924690344 , minwax , brands/household-goods/chemicals , facebook
12048951730 , papa-roach , celebrities/musician , facebook
120537781310020 , mike-molly , entertainment/broadcast-show , facebook
120575041361708 , adam-richman , celebrities/actor , facebook
120589051291485 , k-michelle , celebrities/singer , facebook
120619378008426 , audley-travel , brands/travel , facebook
120773047954924 , dita-von-teese , celebrities/artist , facebook
120791238003536 , morgan-freeman , celebrities/actor , facebook
120812557944565 , john-wall , celebrities/sport-star , facebook
120863314631475 , harmless-harvest , brands/beverages/soft-drink , facebook
120864131257897 , dream-midtown , brands/accommodation , facebook
121064324573104 , usadarfarsi , society/governmental , facebook
121195131261394 , new-orleans-saints , sport/sport-club , facebook
121248434594972 , avista-utilities , brands/industrial , facebook
121360387880828 , blind-skateboards , brands/sporting-goods , facebook
12138756141 , wiz-khalifa , celebrities/singer , facebook
121434489183 , visit-colorado , place/country , facebook
121492378267 , tyler-perry , celebrities/actor , facebook
121615581227176 , travel-astoria-warrenton , brands/travel , facebook
1216562185037209 , john-deere , brands/industrial , facebook
12179710441 , ben-harper , celebrities/musician , facebook
121833853173 , johnny-cupcakes , brands/fashion/clothing , facebook
121870534512105 , sure-grip-international , brands/sporting-goods , facebook
121907691167366 , greyson-chance , celebrities/musician , facebook
121997521469 , chuck-liddell , celebrities/sport-star , facebook
122044727596 , gucci-mane , celebrities/singer , facebook
122184145335 , 2k , brands/software/game-developer , facebook
122239001148610 , leatherman , brands/home-living/home-maintenance , facebook
12229005844 , janis-joplin , celebrities/singer , facebook
122391866814 , dtlr , brands/retail/fashion-retailers , facebook
122393807842447 , u-s-embassy-rangoon , society/governmental , facebook
122396557792120 , safariland , brands/sporting-goods , facebook
122401547841887 , cramer-products-inc , brands/sporting-goods , facebook
12244654978 , kim-komando , celebrities/broadcast-star , facebook
122462567803960 , usaid-nepal , society/governmental , facebook
122531741163825 , american-liver-foundation , society/ngo , facebook
122598731091127 , chris-king-precision-components , brands/sporting-goods , facebook
122688361577 , teresa-giudice , celebrities/broadcast-star , facebook
122762945301 , breckenridge-brewery , brands/alcohol/beer , facebook
122843673138 , all-cell-phones-should-be-waterproof , community/hobbies , facebook
122993201088807 , life-at-red-hat , brands/software/programs , facebook
122996937768125 , the-westin-riverwalk-san-antonio , brands/accommodation , facebook
12301006942 , democratic-party , society/politics , facebook
123032162727 , orbitz , brands/travel , ACSIbrands
12306525644 , the-tudors , entertainment/broadcast-show , facebook
123118179545 , ask-com , media/web-portal , ACSIbrands
123192491037750 , heather-o-reilly , celebrities/sport-star , facebook
123210067702780 , spri , brands/sporting-goods , facebook
123214871097848 , make-the-connection , society/governmental , facebook
123238343158 , pretty-ricky , celebrities/musician , facebook
12326449530 , cozi , entertainment/apps , facebook
123284685353 , hbo-boxing , media/tv-channels , facebook
123398057124 , visit-prescott-arizona , brands/travel , facebook
123503490666 , gooseberry-patch , entertainment/books , facebook
123728257698099 , koloa-landing-resort , brands/accommodation , facebook
123752877694785 , kevita , brands/beverages/soft-drink , facebook
123771635637 , dead-kennedys , celebrities/musician , facebook
123831224311553 , makita-tools-usa , brands/home-living/home-maintenance , facebook
12384211026 , ariana-grande , celebrities/singer , facebook
123918151017276 , contigo , brands/home-living/utensils , facebook
12391908318 , ho-skis , brands/sporting-goods , facebook
123963360928 , siriusxm , media/radio-media , facebook
123984435600 , american-idol , entertainment/broadcast-show , facebook
124016042296 , ted-nugent , celebrities/musician , facebook
124149619252 , chipotle-mexican-grill , brands/retail-food , facebook
12418261494 , popchips , brands/fmcg-food/confectionery , facebook
124285199731 , waldorf-astoria-chicago , brands/accommodation , facebook
124366064752 , the-ban-of-high-fructose-corn-syrup-in-the-u-s , community/hobbies , facebook
124383187641167 , last-man-standing , entertainment/broadcast-show , facebook
124417576075 , cooking-with-nonna , community/life-style , facebook
124423870147 , boot-barn , brands/retail/fashion-retailers , facebook
12442500122 , verizon , brands/telecom , ACSIbrands
124434450852 , travis-porter , celebrities/musician , facebook
124557424238232 , evolved , brands/sporting-goods , facebook
124579490919694 , tamina , celebrities/fashion-star , facebook
124587444228946 , flextone-game-calls , brands/sporting-goods , facebook
124628376541 , visit-japan , place/country , facebook
124713474238225 , sally-s-cottages , brands/accommodation , facebook
