Facebook_ID , Facebook_Name
90250031635 , Meijer
112258312240526 , Consolidated Edison
96325474729 , Salt River Project
119877137370 , CPS Energy
80915298482 , LA Department of Water & Power
416390918442485 , J.C. Penney
150993094945648 , FedEx
154423787905266 , UPS
60774464809 , U.S. Postal Service (Express & Priority Mail)
114219621960016 , Samsung Electronics
130489060322069 , Apple iPhone
558934600793823 , Motorola Mobility (Google)
151262458516 , Dollar General
36922302396 , Nokia
101063233083 , HTC
13004060847 , BlackBerry
20528438720 , Microsoft
106245416086016 , Family Dollar
8576093908 , AT&T
238535514706 , CenturyLink
162956811038 , Cox Communications
1556320391336987 , Charter Communications
326974419055 , Comcast
45949887336 , Verizon Communications (FiOS)
44499520630 , Sears
142405469104684 , AT&T (U-verse)
47835406277 , DIRECTV
77241077755 , Exchange
45347040850 , DISH Network
12442500122 , Verizon Wireless
108726828894 , T-Mobile
159616034235 , Wal-Mart
8389383510 , Sprint
18618646804 , Olive Garden (Darden)
48543634386 , Outback Steakhouse
84917689333 , Applebee's
80018237219 , Red Lobster (Darden)
106027143213 , Chili's
34703237638 , Papa John's
6053772414 , Pizza Hut (Yum! Brands)
6657899956 , Domino's Pizza
147689085280634 , Little Caesar
224383614973 , Subway
113385204488 , Wendy's
134615383218473 , Burger King
22092443056 , Starbucks
6979393237 , Dunkin' Donuts
7144906559 , KFC (Yum! Brands)
18595834696 , Taco Bell (Yum! Brands)
50245567013 , McDonald's
15704546335 , FOXNews.com
13652355666 , USATODAY.com
86680728811 , ABCNEWS.com
273864989376427 , MSNBC.com
5281959998 , NYTimes.com
5550296508 , CNN.com (Time Warner)
18468761129 , TheHuffingtonPost.com (AOL)
104958162837 , Google
70424008437 , Bing (Microsoft)
7040724713 , Yahoo!
60686173217 , Kroger
107651419258212 , AOL
253591661347566 , Pinterest
33138223345 , Wikipedia
7270241753 , YouTube (Google)
212635448777769 , Google+
278029242253904 , Twitter
20531316728 , Facebook
6191007822 , LinkedIn
115568331790246 , Rite Aid
6604386669 , Mercedes-Benz (Daimler)
